team1,team2,toss_winner,toss_decision,venue,winner
Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,Saurashtra Cricket Association Stadium,Mumbai Indians
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Wankhede Stadium,Mumbai Indians
Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Feroz Shah Kotla,Delhi Daredevils
Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,Eden Gardens,Rising Pune Supergiant
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Feroz Shah Kotla,Delhi Daredevils
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kings XI Punjab
Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Feroz Shah Kotla,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,M Chinnaswamy Stadium,Kolkata Knight Riders
Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Green Park,Delhi Daredevils
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Kings XI Punjab
Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park,Sunrisers Hyderabad
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Mumbai Indians
Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Feroz Shah Kotla,Royal Challengers Bangalore
Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Rising Pune Supergiant
